 10   11   12   12   13     5    3  10000   22.11s  Health-ClosedPRs0011.csv
       10   11   12   12   14     5    3  10000   21.90s  Health-ClosedPRs0003.csv
       10   12   13   14   16    13    3   2736   23.27s  SS-Q.csv
       10   13   14   16   18     5    3  10000   21.65s  Health-Commits0001.csv
       10   13   14   16   18     5    3  10000   21.94s  Health-Commits0000.csv
       10   13   15   18   22     5    3  10000   21.64s  Health-ClosedIssues0005.csv
       10   14   16   18   20     5    3  10000   21.70s  Health-ClosedIssues0000.csv
       10   14   18   22   27    14    1   3456   22.90s  HSMGP_num.csv
       10   15   19   22   25     5    3  10000   21.18s  Health-ClosedIssues0007.csv
       10   16   22   27   35     6    1   3840   21.98s  rs-6d-c3_obj1.csv
       10   19   24   29   35     9    1   5160   21.30s  dataset120.csv
       11   13   15   16   18     5    3  10000   21.70s  Health-ClosedIssues0010.csv

      p10  p30  p50  p70  p90    #x   #y  #rows   secs    data
      ---  ---  ---  ---  ---    --   --  -----   ------  --------------------------
       11   14   16   17   20     5    3  10000   21.60s  Health-ClosedIssues0006.csv
       11   14   16   19   23     5    3  10000   21.65s  Health-ClosedPRs0009.csv
       13   15   18   21   24     5    3  10000   21.58s  Health-Commits0005.csv
       11   15   19   22   25     5    3  10000   21.60s  Health-ClosedIssues0003.csv
       11   16   19   22   25     5    3  10000   22.11s  Health-ClosedIssues0004.csv
       12   16   19   21   24    20    2   2938   25.94s  Life_Expectancy_Data.csv
       13   16   19   21   25     5    3  10000   22.14s  Health-ClosedPRs0010.csv
       13   17   20   22   24     5    3  10000   21.79s  Health-ClosedPRs0008.csv
       13   18   20   22   25     5    3  10000   22.06s  Health-ClosedPRs0006.csv
       14   17   20   22   25     5    3  10000   20.62s  Health-Commits0004.csv
       14   18   20   22   24     5    3  10000   21.60s  Health-ClosedIssues0011.csv
       15   18   20   21   23     5    3  10000   21.67s  Health-Commits0003.csv
       15   18   20   22   24     5    3  10000   21.54s  Health-Commits0011.csv
       15   18   20   22   25     5    3  10000   21.66s  Health-ClosedIssues0008.csv
       11   16   21   26   32     6    1   2880   21.63s  wc-6d-c1-obj1.csv
       14   18   21   25   31    19    2   7043   24.02s  WA_Fn-UseC_-Telco-Customer-Churn.csv
       16   19   21   22   25     5    3  10000   21.93s  Health-ClosedPRs0007.csv
       16   19   21   23   25     5    3  10000   22.12s  Health-ClosedPRs0004.csv
       11   17   23   27   32     6    1   3840   21.18s  rs-6d-c3_obj2.csv
       13   18   23   27   33    55    2  17737   37.67s  all_players.csv
       14   20   24   30   38     6    2   3840   21.62s  SS-J.csv
       15   20   24   29   35     5    2   1080    9.35s  SS-I.csv
       16   21   24   28   30    26    1     81    0.26s  player_statistics_cleaned_final.csv
       13   20   25   32   37     9    1   5160   20.58s  dataset600.csv
       15   21   25   37   50    46    2    445    3.81s  multiLabel.csv
       16   20   25   30   35     6    1   2866   21.67s  sol-6d-c2-obj1.csv
       23   26   27   28   31     3    1    196    0.44s  wc+sol-3d-c4-obj1.csv
       22   24   28   31   32     3    1    196    0.67s  wc+rs-3d-c4-obj1.csv
       12   23   30   40   59     3    2   1343   11.83s  SS-A.csv
       23   28   30   35   37     3    1    196    0.74s  wc+wc-3d-c4-obj1.csv
       11   17   35   47   57     3    2    756    4.31s  SS-E.csv
       33   37   42   46   49     3    2    206    0.60s  SS-B.csv
       24   35   54   66   79     4    3    398    2.30s  auto93.csv
       22   39   62   76   86    20    1    350    1.98s  socks.csv
       27   55   93   94   98    35    3  21759   25.34s  Data_COVID19_Indonesia.csv
